PassengerId,Survived,Name
1,0,Braund, Mr. Owen Harris"
2,1,Cumings, Mrs. John Bradley"
3,1,Heikkinen, Miss. Laina"
4,1,Futrelle, Mrs. Jacques Heath (Lily May Peel)"
5,0,Allen, Mr. William Henry"
6,0,Moran, Mr. James"
7,0,McCarthy, Mr. Timothy J"
8,0,Palsson, Master. Gosta Leonard"
9,1,Johnson, Mrs. Oscar W"
10,1,"Nasser, Mrs. Nicholas"
11,1,"Sandstrom, Miss. Marguerite Rut"
12,1,"Bonnell, Miss. Elizabeth"
13,0,"Saundercock, Mr. William Henry"
14,0,"Andersson, Mr. Anders Johan"
15,0,"Vestrom, Miss. Hulda Amanda Adolfina"
16,1,"Hewlett, Mrs. Mary D Kingcome"
17,0,"Rice, Master. Eugene"
18,1,"Williams, Mr. Charles Eugene"
19,0,"Vander Planke, Mrs. Julius"
20,1,"Masselmani, Mrs. Fatima"